Country,Population,% Evangelical
Albania,"2,772,000",0.5
Andorra,"83,000",0.4
Austria,"9,114,000",0.5
Belarus,"8,998,000",1.3
Belgium,"11,759,000",1.2
Bosnia and Herzegovina,"3,140,000",0.1
Bulgaria,"6,715,000",1.9
Croatia,"3,848,000",0.4
Cyprus,"1,371,000",0.8
Czechia,"10,609,000",0.7
Denmark,"6,003,000",3.5
Estonia,"1,344,000",4.9
Faroe Islands,"56,000",28.8
Finland,"5,623,000",12.1
France,"66,651,000",1
Germany,"84,075,000",2.1
Gibraltar,"40,000",2.9
Holy See (Vatican City),"1,000",2.5
Hungary,"9,632,000",2.8
Iceland,"398,000",3.8
Ireland,"5,308,000",1.5
Italy,"59,146,000",1.1
Kosovo,"1,674,000",0.2
Latvia,"1,854,000",7
Liechtenstein,"40,000",0.5
Lithuania,"2,830,000",1.1
Luxembourg,"680,000",0.5
Malta,"545,000",1.3
Moldova,"2,996,000",3.7
Monaco,"38,000",1.2
Montenegro,"633,000",0.1
Netherlands,"18,347,000",4.3
North Macedonia,"1,814,000",0.2
Norway,"5,623,000",8.4
Poland,"38,141,000",0.3
Portugal,"10,412,000",3
Romania,"18,909,000",5.4
Russia,"143,997,000",1.2
San Marino,"34,000",0
Serbia,"6,689,000",0.6
Slovakia,"5,475,000",1.2
Slovenia,"2,117,000",0.1
Spain,"47,890,000",1
Sweden,"10,657,000",6.9
Switzerland,"8,967,000",4.4
Ukraine,"38,980,000",3.8
United Kingdom,"69,551,000",8.8
